S.No,Statement ID,Title,Domain/Track,Description
1,SH26-001,Smart Campus Energy Monitor,IoT & Embedded,Design a real-time energy monitoring system for college campuses using IoT sensors. The system should track consumption per floor/lab generate alerts for anomalies and provide a dashboard for facility managers to reduce wastage by at least 20%.
2,SH26-002,AI-Based Attendance System,AI / ML,Build a contactless AI-powered attendance system using facial recognition that works in varying lighting conditions. Should handle 500+ students per session integrate with existing ERPs and flag proxy attempts in real time.
3,SH26-003,Open Source Contribution Tracker,Developer Tools,Create a GitHub-integrated dashboard that gamifies open source contributions for students. Track PRs issues code reviews and streak data. Include leaderboards badges and club-level analytics.
4,SH26-004,Mental Health Peer Support Bot,HealthTech,Develop an anonymous AI-driven peer support chatbot for students experiencing stress or burnout. Should detect crisis signals and escalate to human counsellors while maintaining strict data privacy compliance.
5,SH26-005,Decentralised Voting Platform,Blockchain,Build a tamper-proof digital voting platform using blockchain for college elections. Must support anonymous voting real-time result tallying audit trails and be accessible on low-bandwidth mobile connections.
6,SH26-006,Hyperlocal Food Waste Reducer,Sustainability,Create a platform connecting college canteens with NGOs and hostels to redistribute surplus food in real time. Include predictive demand forecasting to reduce over-preparation and generate monthly impact reports.
7,SH26-007,AR-Based Lab Safety Trainer,AR / VR,Design an augmented reality module that trains students on lab safety protocols before they enter physical labs. Include interactive hazard simulations quiz checkpoints and compliance certificates on completion.
8,SH26-008,Accessible Learning Platform,EdTech,Build a learning management system specifically designed for students with visual auditory or motor disabilities. Must meet WCAG 2.1 AA standards support screen readers and provide AI-generated alt-text for all content.
9,SH26-009,Campus Lost & Found Network,Community Tech,Develop a geo-tagged lost and found platform for campus items with image recognition to match lost and found posts automatically. Include push notifications and a trust-based claim verification system.
10,SH26-010,Real-Time Plagiarism Shield,Developer Tools,Create a plagiarism detection engine that compares submissions against the internet past submissions and peer work in real time. Should support code reports and presentations with an explainability layer for faculty.
11,SH26-011,Student Startup Matchmaking Engine,AI / ML,Build an AI matchmaking system that connects student founders with co-founders mentors and investors based on skills interests and idea stage. Include a pitch deck builder and milestone tracker.
12,SH26-012,Smart Waste Segregation Bin,IoT & Embedded,Design a smart bin with computer vision that auto-segregates waste into dry wet and e-waste categories. Log data to a cloud dashboard showing fill levels segregation accuracy and collection schedules.
13,SH26-013,Peer-to-Peer Skill Exchange,Community Tech,Create a time-banking platform where students trade skills such as web development for guitar lessons. Include scheduling session logging rating systems and a credit economy managed by the institution.
14,SH26-014,Supply Chain Transparency Tool,Blockchain,Build a blockchain-backed tool for tracking the provenance of lab consumables and equipment purchases. Provide immutable audit logs vendor rating systems and automated red-flag alerts for procurement anomalies.
15,SH26-015,Carbon Footprint Calculator,Sustainability,Develop a tool that calculates the carbon footprint of a college campus by aggregating data from transport electricity water and waste sources. Generate personalised reduction recommendations and a public transparency dashboard.
16,SH26-016,Smart Traffic Management System,IoT & Embedded,Design an AI-powered traffic management system for college campus roads that adapts signal timings based on real-time vehicle density. Reduce average wait times by 30% and integrate with emergency vehicle routing.
17,SH26-017,Multilingual Lecture Summariser,AI / ML,Build a tool that records live lectures and generates concise multilingual summaries in text and audio format. Support at least 5 Indian languages and allow students to ask follow-up questions on the summarised content.
18,SH26-018,Gamified Coding Practice Platform,EdTech,Create a competitive coding platform with daily challenges leaderboards and XP-based progression. Include peer code review team battles and an AI hint system that guides without giving away the answer.
19,SH26-019,Campus Carpooling App,Sustainability,Develop a student carpooling application that matches commuters by route timing and preferences. Include a trust score system in-app payments carbon savings tracker and integration with college timetables.
20,SH26-020,Automated Lab Inventory System,IoT & Embedded,Build an RFID and barcode-based lab inventory management system that tracks equipment usage availability and maintenance schedules. Send automated alerts for low stock calibration due dates and unauthorised access.
